IDKSIP,year,date,hour,district,district_commune,road_category,road_number,type_of_road,road_geometry,area,Longitude,Latitude,char_place_of_the_event,weather_conditions,lighting,type_of_accident,num_of_accidents,num_of_fatalities,num_of_injured,type_of_injury,is_offender_intoxicated,,,,,,,,,,
EWK-98181203Y,2014,2014-03-30,19,POWIAT SIEDLECKI,SKÓRZEC - OBSZAR WIEJSKI,Droga powiatowa,P3310C,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,22.0936111111111,52.13325,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98188873P,2014,2014-04-06,21,POWIAT GARWOLIŃSKI,GARWOLIN - OBSZAR WIEJSKI,Droga powiatowa,31325W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.60625,51.8617777777778,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98189619W,2014,2014-04-05,21,POWIAT SIERPECKI,ZAWIDZ - OBSZAR WIEJSKI,Droga krajowa,10,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,19.9056388888889,52.7798333333333,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-98194957U,2014,2014-04-11,21,POWIAT PRZYSUSKI,GIELNIÓW - OBSZAR WIEJSKI,Droga krajowa,12,Jednojezdniowa dwukierunkowa,,Obszar niezabudowany,20.445,51.3942222222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98204451F,2014,2014-04-21,21,POWIAT ZWOLEŃSKI,POLICZNA - OBSZAR WIEJSKI,Droga krajowa,79,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.6087222222222,51.412,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98206271Y,2014,2014-04-19,22,POWIAT CIECHANOWSKI,OPINOGÓRA GÓRNA - OBSZAR WIEJSKI,Droga wojewódzka,617,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,20.7364722222222,52.9694444444445,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-98206271Y,2014,2014-04-19,22,POWIAT CIECHANOWSKI,OPINOGÓRA GÓRNA - OBSZAR WIEJSKI,Droga wojewódzka,617,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,20.7364722222222,52.9694444444445,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98246217D,2014,2014-05-25,0,POWIAT RADOMSKI,JEDLIŃSK - OBSZAR WIEJSKI,Droga krajowa,7,Dwie jezdnie jednokierunkowe,,Obszar niezabudowany,21.1441111111111,51.4720277777778,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98260383H,2014,2014-06-01,23,POWIAT PŁOCKI,ŁĄCK - OBSZAR WIEJSKI,Droga powiatowa,P2976W,Jednojezdniowa dwukierunkowa,"Zakręt, łuk; Spadek",Obszar niezabudowany,19.7074722222222,52.4357777777778,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98260383H,2014,2014-06-01,23,POWIAT PŁOCKI,ŁĄCK - OBSZAR WIEJSKI,Droga powiatowa,P2976W,Jednojezdniowa dwukierunkowa,"Zakręt, łuk; Spadek",Obszar niezabudowany,19.7074722222222,52.4357777777778,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
